index,assignment_id,attribute,worker_id,n_clicks,n_seconds,last_modified
24,68ce95107a,content_building,919e5faf62,167,137.888,2016-09-28T14:46:31+00:00
25,dad1076946,content_building,4055c6233b,225,460.641,2016-09-28T14:43:35+00:00
26,2323b786f8,content_building,a4c00dc95b,238,126.966,2016-09-28T14:47:57+00:00
27,86b10cbb9b,content_building,62b564ed43,86,183.575,2016-09-28T13:40:46+00:00
28,f45969b590,content_building,997a3c1060,459,242.534,2016-09-28T14:54:58+00:00
29,a0c17fc93f,content_building,a4c00dc95b,214,163.216,2016-09-28T14:43:01+00:00
30,48ed8c6658,content_building,5c3f48eb73,238,143.497,2016-09-28T14:30:42+00:00
31,14797c96c6,content_building,f271b650e2,258,432.313,2016-09-28T14:57:13+00:00
32,f9505d3456,content_building,fb0acf10a2,219,563.538,2016-09-28T13:55:44+00:00
33,b1b35a3d51,content_building,d4749de010,183,210.945,2016-09-28T15:11:32+00:00
34,5c9f9bcc2a,content_building,f271b650e2,182,193.609,2016-09-28T14:34:04+00:00
35,d2f876970f,content_building,3795273595,155,523.837,2016-09-28T13:51:53+00:00
36,ba95be7015,content_building,65f346d456,124,274.494,2016-09-28T13:36:27+00:00
37,ffec877eff,content_building,4d9d9280bd,289,186.031,2016-09-28T14:54:51+00:00
38,de5fa5c824,content_building,0b035343a4,148,245.546,2016-09-28T14:45:49+00:00
39,b09c9f9fe5,content_building,e97ed89aa0,54,33.615,2016-09-28T14:48:40+00:00
40,bb34768693,content_building,abb7c1f2b6,1,0.711,2016-09-28T14:57:21+00:00
41,0bca2f6b6c,content_building,0b035343a4,176,257.185,2016-09-28T14:32:13+00:00
42,7330e028da,content_building,6d18977d52,155,306.627,2016-09-28T14:51:25+00:00
43,bd1d671087,content_building,4ed109d556,204,233.15,2016-09-28T14:36:44+00:00
44,e5e87c2342,content_building,e97ed89aa0,1,0.226,2016-09-28T14:48:47+00:00
45,0009521076,content_building,19b076008d,243,324.27,2016-09-28T15:00:29+00:00
46,bec5d703db,content_building,6e856cf946,382,234.297,2016-09-28T14:44:26+00:00
47,a8d8c6ee55,content_building,0124ede72a,1,1.423,2016-09-28T14:49:20+00:00
48,14a691d161,content_building,0124ede72a,280,253.537,2016-09-28T14:52:02+00:00
49,0147a353d7,content_building,4ed109d556,203,203.139,2016-09-28T14:29:46+00:00
50,c77e7b424a,content_building,2131dd3085,312,269.825,2016-09-28T14:39:05+00:00
51,f10abf7074,content_building,997a3c1060,403,273.132,2016-09-28T14:59:45+00:00
52,fc3578a8b1,content_building,e97ed89aa0,1,0.247,2016-09-28T14:34:17+00:00
53,60bc22a9c1,content_building,0b035343a4,184,343.13,2016-09-28T14:21:03+00:00
54,4249b76388,content_building,2583f7e311,1,0.294,2016-09-28T14:49:48+00:00
55,02fa51ad62,content_building,b80d4f0a3a,363,337.713,2016-09-28T13:58:09+00:00
56,a7b8eb9bff,content_building,e97ed89aa0,1,0.165,2016-09-28T14:57:01+00:00
57,60756d639f,content_building,07ee05686f,167,251.555,2016-09-28T15:13:14+00:00
58,93b03a1c8c,content_building,d5c89dfbc0,12,60.685,2016-09-28T14:18:01+00:00
59,8c30de07a1,content_building,b80d4f0a3a,468,403.199,2016-09-28T14:15:31+00:00
60,bb830d2c76,content_building,b80d4f0a3a,316,523.343,2016-09-28T14:37:59+00:00
61,631bfbe47a,content_building,d4749de010,1,0.17300000000000001,2016-09-28T14:04:22+00:00
62,7330e028da,content_building,6d18977d52,1,0.452,2016-09-28T14:37:17+00:00
63,51b3a53ccf,content_building,7994aace93,1,0.266,2016-09-28T13:50:32+00:00
64,631bfbe47a,content_building,d4749de010,200,226.121,2016-09-28T14:12:26+00:00
65,fd32f72661,content_building,4d9d9280bd,264,191.576,2016-09-28T14:58:19+00:00
66,dda058ed17,content_building,21898690cd,209,346.137,2016-09-28T14:55:21+00:00
67,e94904f66f,content_building,6386550814,217,229.982,2016-09-28T14:58:45+00:00
68,5c9f9bcc2a,content_building,674f821dc1,12,57.298,2016-09-28T14:30:08+00:00
69,a7b8eb9bff,content_building,e97ed89aa0,255,133.137,2016-09-28T14:59:21+00:00
70,af41671937,content_building,f271b650e2,169,245.054,2016-09-28T14:28:55+00:00
71,579b1396d6,content_building,d4749de010,1,0.189,2016-09-28T14:51:38+00:00
72,185ba69878,content_building,704297a38b,174,326.793,2016-09-28T14:50:17+00:00
73,66612002c5,content_building,0b035343a4,172,342.737,2016-09-28T14:27:16+00:00
74,8cee5e281e,content_building,508199e983,148,178.445,2016-09-28T14:46:17+00:00
75,e5202aeb44,content_building,cd68f393fd,281,171.611,2016-09-28T14:53:36+00:00
76,5c7f6c20e2,content_building,62b564ed43,189,142.251,2016-09-28T14:58:00+00:00
77,878d10f446,content_building,07ee05686f,149,194.78,2016-09-28T14:52:42+00:00
78,4651fa75a8,content_building,5ab38829e2,1,0.233,2016-09-28T14:54:07+00:00
79,1815b6da07,content_building,14cb4ea09f,288,515.548,2016-09-28T14:24:24+00:00
80,fce317e922,content_building,ef95671fee,383,535.322,2016-09-28T14:57:12+00:00
81,2500e5df21,content_building,e97ed89aa0,207,124.118,2016-09-28T14:45:02+00:00
82,10379f56c2,content_building,ab8a8b04ec,116,187.4,2016-09-28T14:31:44+00:00
83,62bda4e9fb,content_building,66aeeecec8,1,1.67,2016-09-28T13:58:31+00:00
84,3305b4e714,content_building,62b564ed43,1,0.338,2016-09-28T13:56:29+00:00
85,bb34768693,content_building,abb7c1f2b6,1,0.312,2016-09-28T14:44:13+00:00
86,0071a9bb88,content_building,b80d4f0a3a,572,439.411,2016-09-28T15:02:05+00:00
87,44f2be5688,content_building,3795273595,247,420.009,2016-09-28T14:00:02+00:00
88,9006bde410,content_building,abb7c1f2b6,119,148.449,2016-09-28T14:47:27+00:00
89,5f956c9a00,content_building,d94745e3db,1,0.649,2016-09-28T13:34:51+00:00
90,efbcc23bff,content_building,7a2d272d29,206,303.272,2016-09-28T14:48:41+00:00
91,2e8cce9ad4,content_building,f271b650e2,237,245.16,2016-09-28T13:57:34+00:00
92,33186e76ea,content_building,7a2d272d29,149,267.773,2016-09-28T15:02:47+00:00
93,cf1971a52f,content_building,7a2d272d29,164,258.814,2016-09-28T14:50:48+00:00
94,307fedc81e,content_building,5febb85773,228,357.296,2016-09-28T14:40:12+00:00
95,1138a83c66,content_building,3b78775174,190,195.199,2016-09-28T14:15:35+00:00
96,0ec711627f,content_building,5febb85773,234,267.163,2016-09-28T14:51:09+00:00
97,b73a1c2d05,content_building,e97ed89aa0,290,146.394,2016-09-28T14:36:51+00:00
98,66f8a96f3b,content_building,7a2d272d29,235,164.289,2016-09-28T14:46:20+00:00
99,d22d61dc4e,content_building,abb7c1f2b6,1,0.68,2016-09-28T14:44:09+00:00
100,2500e5df21,content_building,e97ed89aa0,1,0.261,2016-09-28T14:34:10+00:00
101,7430ca389a,content_building,0124ede72a,190,205.01,2016-09-28T15:00:17+00:00
102,a5985bc07b,content_building,4b454257a0,302,443.713,2016-09-28T15:05:38+00:00
103,2a43c8ace9,content_building,f271b650e2,201,180.198,2016-09-28T13:47:25+00:00
104,5c532afcf4,content_building,236e6c846c,218,184.366,2016-09-28T14:44:32+00:00
105,bfeb317b19,content_building,e97ed89aa0,1,0.152,2016-09-28T14:59:24+00:00
106,92b16f04f9,content_building,4ed109d556,184,228.379,2016-09-28T14:43:57+00:00
107,a9d8124f1b,content_building,ef95671fee,249,231.032,2016-09-28T14:46:46+00:00
108,ca5f958795,content_building,a4c00dc95b,299,228.642,2016-09-28T14:35:03+00:00
109,51127611bc,content_building,b80d4f0a3a,366,373.4,2016-09-28T14:21:59+00:00
110,65242e0441,content_building,0124ede72a,385,198.956,2016-09-28T14:41:04+00:00
111,693daeb93c,content_building,e3f07cf62f,1,0.09,2016-09-28T13:35:35+00:00
112,339611ace6,content_building,0124ede72a,317,302.193,2016-09-28T14:37:33+00:00
113,5b7adfbd0e,content_building,abb7c1f2b6,1,0.364,2016-09-28T14:44:06+00:00
114,4838487870,content_building,62b564ed43,191,205.479,2016-09-28T13:56:08+00:00
115,bd0a801bc6,content_building,ce46f17bb3,248,351.337,2016-09-28T15:00:57+00:00
116,9b67a75595,content_building,2710bed52d,195,194.618,2016-09-28T14:53:02+00:00
117,37f22347b8,content_building,6f056e8cdf,181,268.078,2016-09-28T13:44:12+00:00
118,5f956c9a00,content_building,d94745e3db,208,200.012,2016-09-28T13:40:21+00:00
119,e6c835b0c3,content_building,7994aace93,257,454.85,2016-09-28T13:40:10+00:00
120,2ee8830aa4,content_building,7994aace93,209,294.966,2016-09-28T13:50:30+00:00
121,4eef52b158,content_building,71a7217be7,231,350.328,2016-09-28T13:41:30+00:00
122,bfeb317b19,content_building,997a3c1060,381,204.089,2016-09-28T15:03:22+00:00
123,977401c42f,content_building,0124ede72a,307,170.972,2016-09-28T14:43:59+00:00
124,4c414129e9,content_building,ce46f17bb3,167,165.903,2016-09-28T14:50:46+00:00
125,7e29f7da0e,content_building,d5d357d755,171,208.583,2016-09-28T14:45:48+00:00
126,093b0a4889,content_building,919e5faf62,176,133.169,2016-09-28T14:44:08+00:00
127,6e8174562d,content_building,07ee05686f,183,241.4,2016-09-28T15:08:51+00:00
128,00fd8b42ba,content_building,640c668fa4,1,0.40800000000000003,2016-09-28T14:13:03+00:00
129,203cdc708f,content_building,d4749de010,179,275.743,2016-09-28T15:03:43+00:00
130,4f9cee1e20,content_building,62b564ed43,219,258.412,2016-09-28T14:49:20+00:00
131,7a28f725a6,content_building,abb7c1f2b6,1,0.264,2016-09-28T14:44:01+00:00
132,49ca3c9600,content_building,1f1664365d,272,222.62,2016-09-28T14:59:24+00:00
133,4336139bff,content_building,ca8d09030b,243,491.494,2016-09-28T14:51:06+00:00
134,6ac279fde4,content_building,2583f7e311,159,132.248,2016-09-28T14:49:46+00:00
135,5f8a3cc182,content_building,0124ede72a,290,211.345,2016-09-28T14:56:49+00:00
136,8621c28988,content_building,92e56a3bfd,189,180.497,2016-09-28T14:57:03+00:00
137,c132017d8d,content_building,ce46f17bb3,179,197.789,2016-09-28T14:47:46+00:00
138,b768b20404,content_building,b80d4f0a3a,367,421.357,2016-09-28T13:46:30+00:00
139,e14cb7fa3b,content_building,b80d4f0a3a,432,385.647,2016-09-28T14:29:00+00:00
140,e35fcf5471,content_building,099cf01c71,1,0.073,2016-09-28T13:34:22+00:00
141,d997937c96,content_building,d7bce2fdf0,96,172.155,2016-09-28T15:12:21+00:00
142,437008bfff,content_building,4055c6233b,409,743.037,2016-09-28T14:04:15+00:00
143,0e7aa93132,content_building,62b564ed43,187,329.896,2016-09-28T13:37:25+00:00
144,5b7adfbd0e,content_building,abb7c1f2b6,172,129.315,2016-09-28T14:51:59+00:00
145,749e120f1d,content_building,7a2d272d29,202,279.418,2016-09-28T14:58:10+00:00
146,be24f19288,content_building,abb7c1f2b6,103,221.258,2016-09-28T14:55:44+00:00
147,8dc7e579e3,content_building,5c3f48eb73,207,153.76,2016-09-28T14:27:23+00:00
148,46f1a771d1,content_building,4055c6233b,294,891.856,2016-09-28T14:20:06+00:00
149,af1a464064,content_building,4b454257a0,293,376.579,2016-09-28T14:58:06+00:00
150,c2f7f41d59,content_building,4ed109d556,216,176.993,2016-09-28T14:32:48+00:00
151,e5e87c2342,content_building,e97ed89aa0,262,131.259,2016-09-28T14:54:11+00:00
152,aaf2834878,content_building,ef95671fee,368,312.845,2016-09-28T14:38:06+00:00
153,00fd8b42ba,content_building,640c668fa4,196,240.326,2016-09-28T14:12:39+00:00
154,2f7f21f3bf,content_building,927609dc06,1,0.6890000000000001,2016-09-28T13:32:02+00:00
155,7961ac1eb7,content_building,919e5faf62,1,1.35,2016-09-28T14:46:37+00:00
156,d22d61dc4e,content_building,abb7c1f2b6,92,87.057,2016-09-28T14:57:16+00:00
157,6c62fbcdcc,content_building,4d9d9280bd,277,455.989,2016-09-28T14:51:27+00:00
158,0fe503d35c,content_building,abb7c1f2b6,1,0.449,2016-09-28T14:57:31+00:00
159,9bf58fe4bc,content_building,e97ed89aa0,202,123.845,2016-09-28T15:01:32+00:00
160,f37f1479ba,content_building,e97ed89aa0,364,171.671,2016-09-28T14:39:47+00:00
161,fdb4cb0e81,content_building,b80d4f0a3a,276,337.49,2016-09-28T14:07:59+00:00
162,f5277f4973,content_building,4ed109d556,270,200.73,2016-09-28T14:40:06+00:00
163,89a47df810,content_building,21898690cd,190,312.919,2016-09-28T14:42:51+00:00
164,fc3578a8b1,content_building,e97ed89aa0,333,146.359,2016-09-28T14:47:48+00:00
165,2e6a30887e,content_building,5febb85773,1,0.636,2016-09-28T14:56:45+00:00
166,cf14c76013,content_building,2710bed52d,169,329.38,2016-09-28T14:58:48+00:00
167,d7fef2b6a4,content_building,0b5bff35c3,182,227.676,2016-09-28T14:58:37+00:00
168,206756a080,content_building,f422a67fb7,242,229.196,2016-09-28T13:52:38+00:00
169,7ef6248e72,content_building,c8f574ebf7,189,167.06,2016-09-28T14:46:52+00:00
170,86c5dc820c,content_building,236e6c846c,210,203.843,2016-09-28T14:41:20+00:00
171,2b1e454e42,content_building,53e3b7e913,250,278.731,2016-09-28T14:48:15+00:00
172,6e2bc27e4a,content_building,6e856cf946,540,391.809,2016-09-28T14:40:08+00:00
173,bb8269f6d5,content_building,997a3c1060,364,231.923,2016-09-28T14:27:58+00:00
174,ba9643246f,content_building,7a2d272d29,200,282.464,2016-09-28T14:55:41+00:00
175,471989c0fd,content_building,71a7217be7,256,370.217,2016-09-28T13:56:43+00:00
176,77ff79683c,content_building,5c3f48eb73,249,163.195,2016-09-28T14:24:34+00:00
177,45b3763b8f,content_building,2131dd3085,297,323.942,2016-09-28T14:53:30+00:00
178,c29de3859e,content_building,b80d4f0a3a,437,305.301,2016-09-28T13:52:12+00:00
179,df876891b5,content_building,6386550814,287,188.602,2016-09-28T15:02:36+00:00
180,89a236f4ac,content_building,ca8d09030b,169,373.04,2016-09-28T14:58:59+00:00
181,c338b18de1,content_building,919e5faf62,150,151.531,2016-09-28T14:41:50+00:00
182,203cdc708f,content_building,d4749de010,1,0.719,2016-09-28T14:51:50+00:00
183,b5fe264a99,content_building,b80d4f0a3a,395,365.536,2016-09-28T14:53:51+00:00
184,328d67ce1c,content_building,7a2d272d29,194,269.482,2016-09-28T14:53:20+00:00
185,a66c5af65f,content_building,0011448059,1,0.277,2016-09-28T13:32:11+00:00
186,65ebdba009,content_building,4055c6233b,220,562.85,2016-09-28T14:54:58+00:00
187,e436f26ee4,content_building,a1c7e6489a,260,186.526,2016-09-28T14:01:14+00:00
188,f850ecd9dd,content_building,14cb4ea09f,253,319.687,2016-09-28T14:30:12+00:00
189,f8952a1c5b,content_building,4bb66df86d,188,335.371,2016-09-28T14:04:19+00:00
190,4651fa75a8,content_building,9b2c2033f4,392,406.687,2016-09-28T15:17:27+00:00
191,927d27366e,content_building,acc2e9f106,140,242.289,2016-09-28T14:25:54+00:00
192,672a4ee6a8,content_building,0b035343a4,160,272.296,2016-09-28T14:37:24+00:00
193,f06aaba291,content_building,f2b9afb9d0,41,108.306,2016-09-28T14:05:16+00:00
194,579b1396d6,content_building,d4749de010,179,215.096,2016-09-28T14:58:53+00:00
195,e9ce6342af,content_building,0a0712de99,180,573.298,2016-09-28T14:35:40+00:00
196,be24f19288,content_building,abb7c1f2b6,1,1.014,2016-09-28T14:44:10+00:00
197,27cfbbd562,content_building,4ed109d556,199,348.224,2016-09-28T14:56:23+00:00
198,0cdcc5a104,content_building,19b076008d,250,346.32,2016-09-28T15:15:57+00:00
199,0d4354518c,content_building,18fb0da3cf,174,165.059,2016-09-28T15:09:57+00:00
200,fdc1e304c4,content_building,07ee05686f,164,237.145,2016-09-28T15:04:44+00:00
201,8b507918a6,content_building,236e6c846c,163,162.421,2016-09-28T14:55:13+00:00
202,e3374a43a1,content_building,92e56a3bfd,136,141.012,2016-09-28T14:50:48+00:00
203,1090ad1273,content_building,b13f46ce25,150,122.589,2016-09-28T15:31:43+00:00
204,9bf58fe4bc,content_building,e97ed89aa0,1,0.159,2016-09-28T14:49:24+00:00
205,11e0fb37d1,content_building,7994aace93,207,320.774,2016-09-28T13:45:33+00:00
206,61c0f951e6,content_building,a5ae26fb7c,300,492.016,2016-09-28T14:58:13+00:00
207,d98892bdfd,content_building,4083b59fbc,251,226.939,2016-09-28T14:55:11+00:00
208,0d8985276f,content_building,0b5bff35c3,244,415.128,2016-09-28T15:05:54+00:00
209,48fe19d6fc,content_building,21898690cd,185,375.751,2016-09-28T14:49:22+00:00
210,ad6f7dfd0f,content_building,ca8d09030b,229,442.995,2016-09-28T14:16:42+00:00
211,e63c4845ba,content_building,4055c6233b,268,891.84,2016-09-28T14:35:33+00:00
212,8f7f52c9da,content_building,21898690cd,140,302.165,2016-09-28T14:37:30+00:00
213,b09c9f9fe5,content_building,e97ed89aa0,306,146.839,2016-09-28T14:51:56+00:00
214,7cbf8643ee,content_building,92e56a3bfd,161,162.413,2016-09-28T14:53:52+00:00
215,60b4c091a1,content_building,62b564ed43,211,499.198,2016-09-28T14:44:58+00:00
216,c192f0b0b6,content_building,acc2e9f106,198,261.93,2016-09-28T14:21:24+00:00
217,1c077550c6,content_building,0b5bff35c3,184,212.128,2016-09-28T14:54:29+00:00
218,a7b8eb9bff,content_building,e97ed89aa0,1,0.421,2016-09-28T14:49:16+00:00
219,dcd58f02fb,content_building,62b564ed43,131,360.91,2016-09-28T14:55:25+00:00
220,77e3c209db,content_building,0124ede72a,243,163.366,2016-09-28T15:03:30+00:00
221,e63c4845ba,content_building,4055c6233b,1,0.199,2016-09-28T14:20:31+00:00
222,7e6530b7a6,content_building,236e6c846c,220,211.656,2016-09-28T14:52:25+00:00
223,2500e5df21,content_building,e97ed89aa0,1,0.181,2016-09-28T14:42:47+00:00
224,6d1cb03c66,content_building,f271b650e2,286,369.604,2016-09-28T14:47:45+00:00
225,3f9c890299,content_building,ce46f17bb3,178,193.438,2016-09-28T14:54:26+00:00
226,ad6b846896,content_building,07ee05686f,171,276.34,2016-09-28T15:18:02+00:00
227,9993d8d215,content_building,a4c00dc95b,208,117.667,2016-09-28T14:50:01+00:00
228,22362a5918,content_building,a4c00dc95b,230,149.126,2016-09-28T14:45:40+00:00
229,0d4354518c,content_building,0124ede72a,1,0.672,2016-09-28T14:51:49+00:00
230,ab95e466dc,content_building,236e6c846c,189,246.825,2016-09-28T14:48:48+00:00
231,a66c5af65f,content_building,0011448059,145,252.558,2016-09-28T13:47:06+00:00
232,aead5ddf5e,content_building,ef95671fee,226,342.765,2016-09-28T14:27:13+00:00
233,2f7f21f3bf,content_building,927609dc06,1,0.2,2016-09-28T13:31:50+00:00
234,4ac7f65ae2,content_building,62b564ed43,211,167.157,2016-09-28T14:36:34+00:00
235,2e6a30887e,content_building,5febb85773,1,0.678,2016-09-28T14:51:12+00:00
236,fb13b1d0e3,content_building,b0536f1582,190,589.094,2016-09-28T13:42:15+00:00
237,0fe503d35c,content_building,abb7c1f2b6,1,0.446,2016-09-28T14:57:36+00:00
238,f842ee0ebd,content_building,4ed109d556,226,366.608,2016-09-28T14:50:31+00:00
239,dcc759ebbc,content_building,00d0d38198,85,81.982,2016-09-28T13:36:10+00:00
240,28ae6a81c2,content_building,2131dd3085,210,276.719,2016-09-28T14:33:48+00:00
241,7a448d0e8a,content_building,e97ed89aa0,1,0.14400000000000002,2016-09-28T14:49:12+00:00
242,0fe503d35c,content_building,abb7c1f2b6,1,0.85,2016-09-28T14:44:12+00:00
243,556c07468f,content_building,0b035343a4,142,220.708,2016-09-28T14:41:25+00:00
244,7a28f725a6,content_building,abb7c1f2b6,105,121.258,2016-09-28T14:49:38+00:00
245,3e4ec7f824,content_building,71a7217be7,242,344.697,2016-09-28T14:39:53+00:00
246,11ac385f95,content_building,7a2d272d29,198,286.904,2016-09-28T15:05:33+00:00
247,68ca19ca1f,content_building,4b454257a0,228,442.467,2016-09-28T15:13:10+00:00
248,0430c0b64b,content_building,07ee05686f,170,471.96,2016-09-28T15:00:39+00:00
249,d508722926,content_building,71a7217be7,242,411.032,2016-09-28T14:04:03+00:00
250,2966cba169,content_building,e97ed89aa0,253,138.857,2016-09-28T14:42:26+00:00
251,d1a4f08f3a,content_building,1f1664365d,324,288.756,2016-09-28T14:55:20+00:00
252,98f9578614,content_building,ca8d09030b,156,518.079,2016-09-28T14:08:32+00:00
253,7a448d0e8a,content_building,e97ed89aa0,278,162.073,2016-09-28T14:56:58+00:00
254,eeb698d18c,content_building,b80d4f0a3a,269,451.17,2016-09-28T14:46:40+00:00
255,6896b3897c,content_building,2131dd3085,270,272.171,2016-09-28T14:48:00+00:00
256,dcdb1bef62,content_building,a4c00dc95b,184,134.698,2016-09-28T14:37:33+00:00
257,9006bde410,content_building,abb7c1f2b6,1,0.264,2016-09-28T14:44:03+00:00
258,41a54a51fe,content_building,b13f46ce25,169,252.598,2016-09-28T14:32:43+00:00
259,59b997cfeb,content_building,2131dd3085,198,212.58,2016-09-28T14:42:46+00:00
260,dac976b3e4,content_building,14cb4ea09f,277,254.387,2016-09-28T14:34:39+00:00
261,f4d9982f21,content_building,ef95671fee,239,387.263,2016-09-28T14:19:30+00:00
262,3e8bcb6d18,content_building,4865995a48,237,133.441,2016-09-28T18:39:03+00:00
263,aee375c3fa,content_building,e97ed89aa0,1,0.191,2016-09-28T18:29:17+00:00
264,174e13ff1c,content_building,1e45813da3,164,110.636,2016-09-28T19:32:58+00:00
265,fc246dd7fe,content_building,4bb66df86d,235,200.07,2016-09-28T18:41:34+00:00
266,aef1a82ae4,content_building,ef56c9d70d,273,182.515,2016-09-28T18:45:03+00:00
267,6676a265ee,content_building,a5387a06ee,1,0.983,2016-09-28T18:48:21+00:00
268,69b3cf08ff,content_building,00631301e8,108,291.901,2016-09-28T18:46:21+00:00
269,e1231e7ecc,content_building,e11038c135,257,187.917,2016-09-28T18:30:47+00:00
270,2a836a9c84,content_building,74b0390437,8,34.473,2016-09-28T18:25:55+00:00
271,e11aba7862,content_building,18fb0da3cf,193,114.152,2016-09-28T18:37:30+00:00
272,5098dd743e,content_building,a253a4cd8d,1,0.579,2016-09-28T19:06:02+00:00
273,5818956388,content_building,4865995a48,212,142.441,2016-09-28T18:34:08+00:00
274,08cfa90ad9,content_building,38bb19fc8a,1,0.157,2016-09-28T18:49:00+00:00
275,065b221ddf,content_building,5804d2da04,240,388.231,2016-09-28T18:40:34+00:00
276,5fef245e8c,content_building,abb7c1f2b6,198,116.044,2016-09-28T18:39:25+00:00
277,92d3ef0251,content_building,69bc8296ba,1,0.181,2016-09-28T18:38:13+00:00
278,96abcc6657,content_building,a5387a06ee,193,244.814,2016-09-28T18:36:33+00:00
279,e4668b32b2,content_building,549b9bc142,189,130.159,2016-09-28T19:19:07+00:00
280,2a836a9c84,content_building,557e9eb4a7,12,39.564,2016-09-28T18:27:11+00:00
281,5e2f72d7ea,content_building,6d18977d52,1,0.17400000000000002,2016-09-28T18:30:54+00:00
282,c08ed7275c,content_building,8bbaa43e86,270,127.623,2016-09-28T19:11:42+00:00
283,6186f28bb3,content_building,b13f46ce25,193,158.919,2016-09-28T19:05:29+00:00
284,b64ee5f55c,content_building,7482533ce9,378,154.589,2016-09-28T18:30:25+00:00
285,eecc6c2935,content_building,5ad9a9b7ef,185,125.886,2016-09-28T18:42:35+00:00
286,c0aede4ddc,content_building,8bbaa43e86,309,115.478,2016-09-28T18:48:07+00:00
287,671b50644b,content_building,9178b8f001,283,354.393,2016-09-28T18:43:46+00:00
288,e6df8ed9bb,content_building,b22f22c82f,118,177.728,2016-09-28T19:05:22+00:00
289,7f418d6a1f,content_building,2147e30d67,406,273.629,2016-09-28T18:44:22+00:00
290,580a475162,content_building,37c2264b71,284,266.261,2016-09-28T18:47:23+00:00
291,4f9ec5d18d,content_building,e7b967deb1,31,96.036,2016-09-28T18:35:36+00:00
292,f4358ca270,content_building,14b8271dd4,173,129.442,2016-09-28T18:45:08+00:00
293,6676a265ee,content_building,a5387a06ee,131,134.832,2016-09-28T18:48:11+00:00
294,622522d974,content_building,abb7c1f2b6,1,0.972,2016-09-28T18:39:36+00:00
295,fc246dd7fe,content_building,4bb66df86d,1,0.214,2016-09-28T18:36:07+00:00
296,c824bd8c23,content_building,0023984a45,6,66.696,2016-09-28T18:27:32+00:00
297,0aa3fc1d13,content_building,1e45813da3,155,116.016,2016-09-28T18:38:59+00:00
298,f66907cd4b,content_building,ce9dfafe05,203,182.905,2016-09-28T18:39:40+00:00
299,1669a58611,content_building,38bb19fc8a,192,180.29,2016-09-28T18:43:40+00:00
300,d46e943d7b,content_building,72108785d7,430,339.218,2016-09-28T18:41:24+00:00
301,eab28572d2,content_building,146cb99a3c,433,456.971,2016-09-28T18:32:01+00:00
302,27b7f1a481,content_building,ce9dfafe05,215,247.97,2016-09-28T18:36:17+00:00
303,9d1ed338a3,content_building,ce9dfafe05,217,160.57,2016-09-28T18:43:24+00:00
304,24db20605c,content_building,2583f7e311,177,119.55,2016-09-28T18:44:05+00:00
305,5e2f72d7ea,content_building,6d18977d52,13,65.996,2016-09-28T18:32:13+00:00
306,e46b6ce343,content_building,abb7c1f2b6,79,99.029,2016-09-28T18:45:18+00:00
307,0b0101b93e,content_building,b22f22c82f,95,281.86,2016-09-28T19:02:18+00:00
308,73628a7c7f,content_building,abb7c1f2b6,1,0.272,2016-09-28T18:54:50+00:00
309,57a72ce9b6,content_building,3b6e176093,156,155.739,2016-09-28T18:42:48+00:00
310,4b8501daae,content_building,8bbaa43e86,1,0.176,2016-09-28T18:54:59+00:00
